"","sample","read_id","isize"
"600","CMV","NB502000:222:HTNM7BGX9:1:13308:2327:12849 .1",39
"602","CMV","NB502000:222:HTNM7BGX9:1:13309:23843:3912 .1",45
"604","CMV","NB502000:222:HTNM7BGX9:1:13309:17002:5788 .1",54
"606","CMV","NB502000:222:HTNM7BGX9:1:13309:23378:7205 .1",74
"608","CMV","NB502000:222:HTNM7BGX9:1:13309:5684:16548 .1",59
"610","CMV","NB502000:222:HTNM7BGX9:1:13310:15364:3113 .1",56
"612","CMV","NB502000:222:HTNM7BGX9:1:13310:18589:4803 .1",135
"614","CMV","NB502000:222:HTNM7BGX9:1:13310:4408:16428 .1",170
"616","CMV","NB502000:222:HTNM7BGX9:1:13311:9558:6776 .1",86
"618","CMV","NB502000:222:HTNM7BGX9:1:13311:10649:13074 .1",267
"620","CMV","NB502000:222:HTNM7BGX9:1:13312:18459:17658 .1",170
"622","CMV","NB502000:222:HTNM7BGX9:1:21102:1507:2591 .1",119
"624","CMV","NB502000:222:HTNM7BGX9:1:21102:21417:2995 .1",143
"626","CMV","NB502000:222:HTNM7BGX9:1:21102:13812:5436 .1",49
"628","CMV","NB502000:222:HTNM7BGX9:1:21102:14066:6623 .1",298
"630","CMV","NB502000:222:HTNM7BGX9:1:21103:9341:1159 .1",96
"634","CMV","NB502000:222:HTNM7BGX9:1:21103:25985:9814 .1",63
"636","CMV","NB502000:222:HTNM7BGX9:1:21104:14705:7244 .1",66
"638","CMV","NB502000:222:HTNM7BGX9:1:21104:8326:8201 .1",63
"640","CMV","NB502000:222:HTNM7BGX9:1:21104:5119:19869 .1",81
"642","CMV","NB502000:222:HTNM7BGX9:1:21106:15201:2825 .1",85
"644","CMV","NB502000:222:HTNM7BGX9:1:21106:19114:6764 .1",435
"646","CMV","NB502000:222:HTNM7BGX9:1:21106:20209:14097 .1",40
"648","CMV","NB502000:222:HTNM7BGX9:1:21108:23534:16669 .1",330
"650","CMV","NB502000:222:HTNM7BGX9:1:21109:11636:3566 .1",124
"652","CMV","NB502000:222:HTNM7BGX9:1:21109:14383:10944 .1",95
"654","CMV","NB502000:222:HTNM7BGX9:1:21109:18230:11216 .1",371
"656","CMV","NB502000:222:HTNM7BGX9:1:21109:20415:13574 .1",196
"658","CMV","NB502000:222:HTNM7BGX9:1:21109:4021:15554 .1",233
"660","CMV","NB502000:222:HTNM7BGX9:1:21111:20843:4307 .1",191
"662","CMV","NB502000:222:HTNM7BGX9:1:21111:4777:7391 .1",173
"664","CMV","NB502000:222:HTNM7BGX9:1:21111:18725:16268 .1",205
"666","CMV","NB502000:222:HTNM7BGX9:1:21111:19659:18509 .1",182
"668","CMV","NB502000:222:HTNM7BGX9:1:21112:3910:8642 .1",150
"670","CMV","NB502000:222:HTNM7BGX9:1:21112:3684:13768 .1",172
"672","CMV","NB502000:222:HTNM7BGX9:1:21201:1788:6543 .1",307
"674","CMV","NB502000:222:HTNM7BGX9:1:21201:7637:6604 .1",358
"676","CMV","NB502000:222:HTNM7BGX9:1:21201:3323:17805 .1",38
"678","CMV","NB502000:222:HTNM7BGX9:1:21202:9807:2768 .1",49
"680","CMV","NB502000:222:HTNM7BGX9:1:21202:2805:3406 .1",79
"682","CMV","NB502000:222:HTNM7BGX9:1:21202:7567:16305 .1",88
"684","CMV","NB502000:222:HTNM7BGX9:1:21203:25573:1980 .1",159
"686","CMV","NB502000:222:HTNM7BGX9:1:21203:12501:3733 .1",92
"688","CMV","NB502000:222:HTNM7BGX9:1:21203:3463:7982 .1",58
"690","CMV","NB502000:222:HTNM7BGX9:1:21203:20617:10630 .1",79
"692","CMV","NB502000:222:HTNM7BGX9:1:21204:26047:4046 .1",175
"694","CMV","NB502000:222:HTNM7BGX9:1:21204:9040:9785 .1",152
"696","CMV","NB502000:222:HTNM7BGX9:1:21204:21319:17901 .1",48
"698","CMV","NB502000:222:HTNM7BGX9:1:21204:14497:18084 .1",77
"700","CMV","NB502000:222:HTNM7BGX9:1:21205:21490:9058 .1",120
"702","CMV","NB502000:222:HTNM7BGX9:1:21205:23741:13451 .1",152
"705","CMV","NB502000:222:HTNM7BGX9:1:21206:17868:7960 .1",96
"707","CMV","NB502000:222:HTNM7BGX9:1:21207:18594:18297 .1",146
"709","CMV","NB502000:222:HTNM7BGX9:1:21207:17588:18899 .1",44
